type	public_code	ur_code_legacy	XML_root_legacy	XML_element_legacy	description_LV	description_EN
various_notice	DIVISION_OF_REGISTER_OF_SHAREHOLDERS	DRND	LegalEntityExtenedStructure	EventType	Dalîbnieku reìistra nodalîjums	Division of the Register of Shareholders
various_notice	DRAFT_DECISION_ON_REORGANISATION	RLPR	LegalEntityExtenedStructure	EventType	Reorganizâcijas lçmuma projekts	Draft decision on reorganisation
various_notice	LIST_OF_ARBITRATORS	SKTS	LegalEntityExtenedStructure	EventType	Ðíîrçjtiesneðu saraksts	List of arbitrators (historical)
various_notice	NOTIFICATION_ON_COMPLIANCE_WITH_CONDITIONS_ON_SIGNIFICANCE_TO_NATIONAL_SECURITY	PNDS	LegalEntityExtenedStructure	EventType	Paziòojums par komercsabiedrîbas atbilstîbu nacionâlajai droðîbai nozîmîgas komercsabiedrîbas nosacîjumiem	Notification on compliance of the commercial company with conditions on commercial companies significant for national security
various_notice	NOTIFICATION_ON_EXPIRY_OF_COMPLIANCE_WITH_CONDITIONS_ON_SIGNIFICANCE_TO_NATIONAL_SECURITY	PNDB	LegalEntityExtenedStructure	EventType	Paziòojums par komercsabiedrîbas atbilstîbas nacionâlajai droðîbai nozîmîgas komercsabiedrîbas nosacîjumiem izbeigðanos	Notification on expiry of compliance of the commercial company with conditions on commercial companies significant for national security
various_notice	NOTIFICATION_ON_REDUCTION_IN_EQUITY_CAPITAL	PPKS	LegalEntityExtenedStructure	EventType	Paziòojums par pamatkapitâla samazinâðanu	Notification on reduction in the equity capital
various_notice	PLAN_FOR_EXTINGUISHING_OBLIGATIONS	SDPL	LegalEntityExtenedStructure	EventType	Saistîbu dzçðanas plâns	Plan for extinguishing the obligations
various_notice	PLAN_FOR_PROPERTY_SALE	MPPL	LegalEntityExtenedStructure	EventType	Mantas pârdoðanas plâns	Plan for property sale
various_notice	PLAN_FOR_PROPERTY_SALE_AND_SETTLING_OF_CLAIMS	MKPL	LegalEntityExtenedStructure	EventType	Mantas pârdoðanas un kreditoru prasîjumu apmierinâðanas plâns	Plan for property sale and settling of creditors' claims
various_notice	PROPOSAL_ON_TRANSFERRING_ADDRESS_OF_EEIG	EGAD	LegalEntityExtenedStructure	EventType	Priekðlikums mainît Eiropas ekonomisko intereðu grupas juridisko adresi	Proposal on transferring the legal address of the European Economic Interest Grouping
various_notice	PROPOSAL_ON_TRANSFERRING_ADDRESS_OF_SCE	ECAD	LegalEntityExtenedStructure	EventType	Priekðlikums mainît Eiropas kooperatîvâs sabiedrîbas juridisko adresi	Proposal on transferring the legal address of the European cooperative society
various_notice	PROPOSAL_ON_TRANSFERRING_ADDRESS_OF_SE	EMAD	LegalEntityExtenedStructure	EventType	Priekðlikums mainît Eiropas komercsabiedrîbas juridisko adresi	Proposal on transferring the legal address of the European Sompany
various_notice	REGISTER_OF_SHAREHOLDERS	DREG	LegalEntityExtenedStructure	EventType	Dalîbnieku reìistrs	Register of Shareholders (historical)
various_notice	REORGANISATION_DRAFT_AGREEMENT	RCPR	LegalEntityExtenedStructure	EventType	Reorganizâcijas lîguma projekts	Reorganisation draft agreement 
various_notice	RULES_OF_PROCEDURE	REGL	LegalEntityExtenedStructure	EventType	Reglaments	Rules of procedure
various_status	BENEFICIAL_OWNER_CANNOT_BE_IDENTIFIED	P	LegalEntityExtenedStructure	SpecialStatus	Juridiskâs personas patieso labuma guvçju noskaidrot nav iespçjams	The beneficial owner of a legal person cannot be identified
various_status	BENEFICIAL_OWNER_CONTROL_RESULTS_FROM_SHAREHOLDERS_STATUS	B	LegalEntityExtenedStructure	SpecialStatus	Patiesais labuma guvçjs ir akcionârs tâdâ akciju sabiedrîbâ, kuras akcijas ir iekïautas regulçtajâ tirgû, un veids, kâdâ tiek îstenota kontrole pâr juridisko personu, izriet tikai no akcionâra statusa	The beneficial owner is a shareholder of a public company with shares admitted for trading on a regulated market, and control over the legal person only results from the shareholder’s status
various_status	SIGNIFICANT_TO_NATIONAL_SECURITY	N	LegalEntityExtenedStructure	SpecialStatus	Nacionâlajai droðîbai nozîmîga komercsabiedrîba	A commercial company of significance to national security
