type	public_code	ur_code_legacy	XML_root_legacy	XML_element_legacy	description_LV	description_EN
authority	INSTITUTION_OF_DIRECT_ADMINISTRATION				Tieðâs pârvaldes iestâde	Institution of direct administration
authority	INSTITUTION_OF_INDIRECT_ADMINISTRATION				Pastarpinâtâs pârvaldes iestâde	Institution of indirect administration
authority	OTHER_AUTHORITY				Cita valsts iestâde	Other public authority
authority	PARLIAMENT				Latvijas Republikas Saeima	Latvian Parliament
authority	PROSECUTION_OFFICE				Prokuratûra	Prosecution Office
capital	CONDITIONAL_EQUITY	NOS	LegalEntityExtenedStructure	CapitalForm	Nosacîtais pamatkapitâls	Conditional equity
capital	EQUITY_KB	PKB	LegalEntityExtenedStructure	CapitalForm	Pamatkapitâls (KB)	Equity of KB (Co-operative Society)
capital	FOUNDING_AS	DIB	LegalEntityExtenedStructure	CapitalForm	Dibinâðanas kapitâls (AS)	Founding capital of AS (PLC)
capital	HISTORICAL_EQUITY	OBC	LegalEntityExtenedStructure	CapitalForm	Pamatkapitâls (vçsture)	Equity (history)
capital	INVESTMENT	KOM	LegalEntityExtenedStructure	CapitalForm	Ieguldîjums	Investment
capital	MINIMUM_RESERVES	OBL	LegalEntityExtenedStructure	CapitalForm	Obligâtâ rezerve	Minimum reserves
capital	PAID_UP_EQUITY	APM	LegalEntityExtenedStructure	CapitalForm	Apmaksâtais pamatkapitâls	Paid-up equity
capital	REGISTERED_AS	RGP	LegalEntityExtenedStructure	CapitalForm	Reìistrçtais kapitâls (AS)	Registered capital of AS (PLC)
capital	REGISTERED_EQUITY	REG	LegalEntityExtenedStructure	CapitalForm	Reìistrçtais pamatkapitâls	Registered equity
change	ACTIVITY	dv	LegalEntityExtenedStructure	ChangesRecord	Darbîbas veidu maiòa	Change of activity
change	ADDRESS	adrese	LegalEntityExtenedStructure	ChangesRecord	Adreses maiòa	Change of legal address
change	BENEFICIAL_OWNER	plg	LegalEntityExtenedStructure	ChangesRecord	Izmaiòas patiesajos labuma guvçjos	Change in beneficial owners
change	BRANCH	fil	LegalEntityExtenedStructure	ChangesRecord	Izmaiòas filiâlçs	Change in branches
change	EQUITY_CAPITAL	pk	LegalEntityExtenedStructure	ChangesRecord	Pamatkapitâla maiòa	Change of equity capital
change	LIQUIDATION				Izmaiòas saistîbâ ar likvidâcijas procesu	Change concerning liquidation proceedings
change	MEMBER	dibin	LegalEntityExtenedStructure	ChangesRecord	Izamiòas dalîbniekos	Change in members
change	NAME	nosaukumi	LegalEntityExtenedStructure	ChangesRecord	Nosaukuma maiòa	Change of legal name
change	NEW				Reìistrçts jauns subjekts	New entity was registered
change	OFFICER	pers	LegalEntityExtenedStructure	ChangesRecord	Izmaiòas amatpersonâs	Change in officers
change	OTHER_CHANGE	others	LegalEntityExtenedStructure	ChangesRecord	Citas izmaiòas	Unidentified type of change
change	PROCURATION	prok	LegalEntityExtenedStructure	ChangesRecord	Izmaiòas prokuristos	Change in procurations
change	REMOVAL				Subjekts no reìistra izslçgts	Entity was removed
change	REORGANIZATION				Izmaiòas saistîbâ ar reorganizâcijas procesu	Change concerning reorganisation proceedings
change	REREGISTRATION	reg	LegalEntityExtenedStructure	ChangesRecord	Reìistra maiòa	Change of register
change	SECURING_MEASURE	arests	LegalEntityExtenedStructure	ChangesRecord	Nodroðinâjuma lîdzekïu maiòa	Change in securing measures
change_reason	ADDRESS_UPDATED	K	LegalEntityExtenedStructure	ChangeReason	"Aktualizçts, pamatojoties uz likuma ""Par Latvijas Republikas Uzòçmumu reìistru"" 4.4panta treðo daïu"	Updated on the basis of Paragraph three, Article 4.4 of the Law on the Enterprise Register of the Republic of Latvia
change_reason	ANNULLED	A	LegalEntityExtenedStructure	ChangeReason	Anulçts	Entry annulled
change_reason	EQUITY_RECALCULATED	C	LegalEntityExtenedStructure	ChangeReason	Pamatkapitâls pârrçíinâts, pamatojoties uz Komerclikuma pârejas noteikumu 52.p	The equity capital recalculated in conformity with Paragraph 52 of the transitional provisions of the Commercial Law
